"id","Crime_Total_i","Assault_Total_i","Theft_Total_i","April_Crime_Total_i","Assault_April_i","Theft_April_i","April_Assault_Crime_Rate_s","April_Theft_Crime_Rate_s","April_Crime_Rate__From_Year_s"
"2009_64011",1,0,1,1,0,1,"0.00%","100.00%","100.00%"
"2009_64012",3,1,0,0,0,0,"0.00%","0.00%","0.00%"
"2009_64014",1,0,0,0,0,0,"0.00%","0.00%","0.00%"
"2009_64015",1,0,0,0,0,0,"0.00%","0.00%","0.00%"
"2009_64016",6,0,2,0,0,0,"0.00%","0.00%","0.00%"
"2009_64018",1,1,0,0,0,0,"0.00%","0.00%","0.00%"
"2009_64019",1,0,0,0,0,0,"0.00%","0.00%","0.00%"
"2009_64024",1,0,1,0,0,0,"0.00%","0.00%","0.00%"
"2009_64029",1,0,1,0,0,0,"0.00%","0.00%","0.00%"
"2009_64030",19,1,3,1,0,0,"0.00%","0.00%","5.26%"
"2009_64031",1,0,0,0,0,0,"0.00%","0.00%","0.00%"
"2009_64034",1,0,0,0,0,0,"0.00%","0.00%","0.00%"
"2009_64048",1,0,0,0,0,0,"0.00%","0.00%","0.00%"
"2009_64050",3,0,0,0,0,0,"0.00%","0.00%","0.00%"
"2009_64051",1,0,0,0,0,0,"0.00%","0.00%","0.00%"
"2009_64052",2,0,2,0,0,0,"0.00%","0.00%","0.00%"
"2009_64053",1,1,0,0,0,0,"0.00%","0.00%","0.00%"
"2009_64054",2,1,1,0,0,0,"0.00%","0.00%","0.00%"
"2009_64055",8,2,2,0,0,0,"0.00%","0.00%","0.00%"
"2009_64057",5,1,0,0,0,0,"0.00%","0.00%","0.00%"
"2009_64060",2,1,1,0,0,0,"0.00%","0.00%","0.00%"
"2009_64063",3,0,0,2,0,0,"0.00%","0.00%","66.67%"
"2009_64064",2,1,0,1,0,0,"0.00%","0.00%","50.00%"
"2009_64065",1,0,0,0,0,0,"0.00%","0.00%","0.00%"
"2009_64068",4,2,1,1,0,0,"0.00%","0.00%","25.00%"
"2009_64069",1,0,0,0,0,0,"0.00%","0.00%","0.00%"
"2009_64081",1,0,0,0,0,0,"0.00%","0.00%","0.00%"
"2009_64082",2,0,2,0,0,0,"0.00%","0.00%","0.00%"
"2009_64086",1,0,0,0,0,0,"0.00%","0.00%","0.00%"
"2009_64089",2,0,1,1,0,1,"0.00%","100.00%","50.00%"
"2009_64100",2,0,0,0,0,0,"0.00%","0.00%","0.00%"
"2009_64101",114,9,31,10,1,1,"10.00%","10.00%","8.77%"
"2009_64102",60,11,14,6,0,2,"0.00%","33.33%","10.00%"
"2009_64103",16,3,5,2,1,0,"50.00%","0.00%","12.50%"
"2009_64104",25,3,5,7,2,2,"28.57%","28.57%","28.00%"
"2009_64105",651,50,109,77,2,10,"2.60%","12.99%","11.83%"
"2009_64106",2576,473,486,192,35,35,"18.23%","18.23%","7.45%"
"2009_64107",21,5,5,1,0,1,"0.00%","100.00%","4.76%"
"2009_64108",1692,254,354,133,18,22,"13.53%","16.54%","7.86%"
"2009_64109",2722,543,678,233,55,58,"23.61%","24.89%","8.56%"
"2009_64110",2261,327,647,167,28,44,"16.77%","26.35%","7.39%"
"2009_64111",3183,372,815,261,37,62,"14.18%","23.75%","8.20%"
"2009_64112",717,33,173,53,3,7,"5.66%","13.21%","7.39%"
"2009_64113",410,16,147,44,2,14,"4.55%","31.82%","10.73%"
"2009_64114",1707,137,685,146,12,56,"8.22%","38.36%","8.55%"
"2009_64115",14,3,2,0,0,0,"0.00%","0.00%","0.00%"
"2009_64116",711,76,216,57,6,11,"10.53%","19.30%","8.02%"
"2009_64117",1130,154,294,110,17,30,"15.45%","27.27%","9.73%"
"2009_64118",1630,212,502,137,16,51,"11.68%","37.23%","8.40%"
"2009_64119",1211,152,414,92,22,27,"23.91%","29.35%","7.60%"
"2009_64120",357,34,110,38,2,6,"5.26%","15.79%","10.64%"
"2009_64121",14,1,4,1,0,0,"0.00%","0.00%","7.14%"
"2009_64122",10,1,2,1,0,0,"0.00%","0.00%","10.00%"
"2009_64123",1550,242,497,123,23,33,"18.70%","26.83%","7.94%"
"2009_64124",1745,305,512,151,29,49,"19.21%","32.45%","8.65%"
"2009_64125",350,59,129,21,4,9,"19.05%","42.86%","6.00%"
"2009_64126",782,118,243,55,3,30,"5.45%","54.55%","7.03%"
"2009_64127",3845,771,1031,353,86,89,"24.36%","25.21%","9.18%"
"2009_64128",1926,383,547,163,30,46,"18.40%","28.22%","8.46%"
"2009_64129",1201,191,396,97,19,34,"19.59%","35.05%","8.08%"
"2009_64130",4938,1075,1443,396,102,94,"25.76%","23.74%","8.02%"
"2009_64131",2036,340,689,192,37,55,"19.27%","28.65%","9.43%"
"2009_64132",2009,422,641,168,45,49,"26.79%","29.17%","8.36%"
"2009_64133",1974,186,795,130,9,47,"6.92%","36.15%","6.59%"
"2009_64134",2999,532,946,231,39,79,"16.88%","34.20%","7.70%"
"2009_64135",12,5,3,0,0,0,"0.00%","0.00%","0.00%"
"2009_64136",157,24,56,18,2,8,"11.11%","44.44%","11.46%"
"2009_64137",873,118,287,70,8,27,"11.43%","38.57%","8.02%"
"2009_64138",1051,142,353,85,14,26,"16.47%","30.59%","8.09%"
"2009_64139",59,13,13,0,0,0,"0.00%","0.00%","0.00%"
"2009_64140",3,2,1,1,0,1,"0.00%","100.00%","33.33%"
"2009_64141",11,1,3,0,0,0,"0.00%","0.00%","0.00%"
"2009_64142",1,1,0,0,0,0,"0.00%","0.00%","0.00%"
"2009_64143",5,3,2,0,0,0,"0.00%","0.00%","0.00%"
"2009_64144",2,0,0,0,0,0,"0.00%","0.00%","0.00%"
"2009_64145",367,31,157,31,4,13,"12.90%","41.94%","8.45%"
"2009_64146",55,5,17,4,0,3,"0.00%","75.00%","7.27%"
"2009_64147",33,12,5,5,2,1,"40.00%","20.00%","15.15%"
"2009_64148",2,0,1,1,0,0,"0.00%","0.00%","50.00%"
"2009_64149",11,0,5,3,0,0,"0.00%","0.00%","27.27%"
"2009_64150",10,0,3,0,0,0,"0.00%","0.00%","0.00%"
"2009_64151",1145,142,275,96,13,23,"13.54%","23.96%","8.38%"
"2009_64152",522,92,138,42,13,10,"30.95%","23.81%","8.05%"
"2009_64153",516,28,172,43,4,10,"9.30%","23.26%","8.33%"
"2009_64154",573,51,185,51,7,18,"13.73%","35.29%","8.90%"
"2009_64155",874,120,247,68,11,20,"16.18%","29.41%","7.78%"
"2009_64156",149,27,36,18,2,2,"11.11%","11.11%","12.08%"
"2009_64157",400,40,151,27,3,13,"11.11%","48.15%","6.75%"
"2009_64158",187,14,58,20,0,6,"0.00%","30.00%","10.70%"
"2009_64159",7,0,5,4,0,4,"0.00%","100.00%","57.14%"
"2009_64160",2,0,0,0,0,0,"0.00%","0.00%","0.00%"
"2009_64161",107,7,27,11,1,2,"9.09%","18.18%","10.28%"
"2009_64162",1,1,0,0,0,0,"0.00%","0.00%","0.00%"
"2009_64163",12,0,6,2,0,2,"0.00%","100.00%","16.67%"
"2009_64164",8,1,2,1,0,0,"0.00%","0.00%","12.50%"
"2009_64165",4,1,0,0,0,0,"0.00%","0.00%","0.00%"
"2009_64166",2,0,0,0,0,0,"0.00%","0.00%","0.00%"
"2009_64188",2,1,1,0,0,0,"0.00%","0.00%","0.00%"
"2009_64196",3,0,0,0,0,0,"0.00%","0.00%","0.00%"
"2009_64198",1,0,0,0,0,0,"0.00%","0.00%","0.00%"
"2009_64199",2,0,0,0,0,0,"0.00%","0.00%","0.00%"
"2009_64213",1,0,0,0,0,0,"0.00%","0.00%","0.00%"
"2009_64216",1,0,0,0,0,0,"0.00%","0.00%","0.00%"
"2009_64217",5,0,3,1,0,0,"0.00%","0.00%","20.00%"
"2009_64218",2,2,0,0,0,0,"0.00%","0.00%","0.00%"
"2009_64219",1,0,0,1,0,0,"0.00%","0.00%","100.00%"
"2009_64220",2,0,1,0,0,0,"0.00%","0.00%","0.00%"
"2009_64230",1,1,0,0,0,0,"0.00%","0.00%","0.00%"
"2009_64234",4,1,1,0,0,0,"0.00%","0.00%","0.00%"
"2009_64312",1,0,1,0,0,0,"0.00%","0.00%","0.00%"
"2009_64406",1,0,0,0,0,0,"0.00%","0.00%","0.00%"
"2009_64418",1,0,1,0,0,0,"0.00%","0.00%","0.00%"
"2009_64456",1,0,0,0,0,0,"0.00%","0.00%","0.00%"
"2009_64511",1,0,0,0,0,0,"0.00%","0.00%","0.00%"
"2009_64518",1,0,1,0,0,0,"0.00%","0.00%","0.00%"
"2009_64580",1,0,1,1,0,1,"0.00%","100.00%","100.00%"
